# convergence | collection emt (epithelial-mesenchymal transition (EMT)) | DRVI run drvi_epi_64 | 04_3 - 04_7 signature interpretation
# CAVEAT: Cell type labels come from CellTypist (Cells_Adult_Breast.pkl, Kumar et al.
# CAVEAT: 2023), a NORMAL adult breast atlas with no malignant class: TNBC cells are assigned to the nearest normal state.
# CAVEAT: This subset therefore mixes normal and malignant epithelium and no CNV inference has been run.
# CAVEAT: Every state reported here is an EPITHELIAL state, not a tumour cell state.
dim_direction,dimension,direction,A_best_signature,A_rho,A_best_any_readout,A_rho_any,A_auroc_target_this_side,A_standardised_mean_difference,B_best_signature,B_neglog10_fdr,B_fdr,A_significant,B_significant,same_signature,same_family,A_family,B_family,verdict,dimension_vanished,confounder_flags
DR 31-,DR 31,-,EMT_A_MESENCHYMAL,0.0553,EMT_SCORE_C,0.0991,0.47127372072879536,-0.29886103,EMT_C_MESENCHYMAL,0.2026,0.6271912632309239,False,False,False,False,mesenchymal,mesenchymal,neither,False,mesenchymal_may_be_ambient_or_doublet
DR 32+,DR 32,+,EMT_A_EPITHELIAL,0.0881,EMT_A_EPITHELIAL,0.0881,0.5184040161311173,0.05602721,EMT_A_EPITHELIAL,1.0492,0.08928941960649826,False,False,False,False,epithelial,epithelial,neither,False,depth
DR 32-,DR 32,-,EMT_B_MESENCHYMAL,0.0693,EMT_SCORE_B,0.0985,0.4815959838688827,-0.05602721,EMT_B_MESENCHYMAL,0.5704,0.26890569500292505,False,False,False,False,mesenchymal,mesenchymal,neither,False,mesenchymal_may_be_ambient_or_doublet
DR 33+,DR 33,+,EMT_B_MESENCHYMAL,-0.0032,EMT_SCORE_B,0.0103,0.5076997477603975,0.025558721,EMT_B_MESENCHYMAL,0.0,1.0,False,False,False,False,mesenchymal,mesenchymal,neither,False,mesenchymal_may_be_ambient_or_doublet
DR 33-,DR 33,-,EMT_A_HYBRID,0.027,EMT_A_HYBRID,0.027,0.4923002522396025,-0.025558721,EMT_B_EPITHELIAL,1.6314,0.023366840816727314,False,True,False,False,hybrid,epithelial,factor_only_candidate_patient_or_technical,False,depth
DR 34+,DR 34,+,EMT_B_HYBRID,0.061,EMT_B_HYBRID,0.061,0.4958475665772095,-0.015968889,EMT_C_HYBRID,1.2545,0.05565446342582579,False,False,False,False,hybrid,hybrid,neither,False,none
DR 34-,DR 34,-,EMT_C_MESENCHYMAL,0.0213,EMT_C_MESENCHYMAL,0.0213,0.5041524334227905,0.015968889,EMT_A_MESENCHYMAL,0.0,1.0,False,False,False,False,mesenchymal,mesenchymal,neither,False,mesenchymal_may_be_ambient_or_doublet
DR 35+,DR 35,+,EMT_C_MESENCHYMAL,0.0882,EMT_C_MESENCHYMAL,0.0882,0.5280417521392615,0.109499946,EMT_C_HYBRID,0.3947,0.40299531750197726,False,False,False,False,mesenchymal,hybrid,neither,False,mesenchymal_may_be_ambient_or_doublet
DR 35-,DR 35,-,EMT_A_EPITHELIAL,0.004,EMT_A_EPITHELIAL,0.004,0.4719582478607385,-0.109499946,EMT_A_EPITHELIAL,1.0492,0.08928941960649826,False,False,False,False,epithelial,epithelial,neither,False,depth
DR 36+,DR 36,+,EMT_B_HYBRID,0.0448,EMT_B_HYBRID,0.0448,0.5044264597987891,-0.01083129,EMT_C_MESENCHYMAL,0.2026,0.6271912632309239,False,False,False,False,hybrid,mesenchymal,neither,False,none
DR 36-,DR 36,-,EMT_A_EPITHELIAL,-0.0121,EMT_SCORE_B,0.006,0.4955735402012109,0.01083129,EMT_A_EPITHELIAL,0.2474,0.5657180034775734,False,False,False,False,epithelial,epithelial,neither,False,depth
DR 37+,DR 37,+,EMT_A_MESENCHYMAL,0.1521,EMT_A_MESENCHYMAL,0.1521,0.5846353129851021,0.36417332,EMT_B_MESENCHYMAL,0.981,0.10447202192208001,False,False,False,False,mesenchymal,mesenchymal,neither,False,mesenchymal_may_be_ambient_or_doublet
DR 37-,DR 37,-,EMT_A_HYBRID,-0.0047,EMT_A_HYBRID,-0.0047,0.4153646870148979,-0.36417332,EMT_A_EPITHELIAL,-0.0,1.0,False,False,False,False,hybrid,epithelial,neither,False,none
DR 38+,DR 38,+,EMT_A_EPITHELIAL,0.0684,EMT_A_EPITHELIAL,0.0684,0.4760242848640537,-0.076486506,EMT_B_HYBRID,0.0,1.0,False,False,False,False,epithelial,hybrid,neither,False,depth
DR 38-,DR 38,-,EMT_A_MESENCHYMAL,0.1161,EMT_SCORE_A,0.1186,0.5239757151359463,0.076486506,EMT_A_MESENCHYMAL,0.4942,0.32047931228494014,False,False,False,False,mesenchymal,mesenchymal,neither,False,mesenchymal_may_be_ambient_or_doublet
DR 39+,DR 39,+,EMT_B_EPITHELIAL,0.1337,EMT_B_EPITHELIAL,0.1337,0.5491348355861102,0.18358342,EMT_A_EPITHELIAL,1.0492,0.08928941960649826,False,False,False,False,epithelial,epithelial,neither,False,depth
DR 39-,DR 39,-,EMT_A_MESENCHYMAL,0.0251,EMT_SCORE_A,0.1034,0.4508651644138898,-0.18358342,EMT_C_MESENCHYMAL,0.2026,0.6271912632309239,False,False,False,False,mesenchymal,mesenchymal,neither,False,mesenchymal_may_be_ambient_or_doublet
DR 40+,DR 40,+,EMT_B_EPITHELIAL,0.1272,EMT_B_EPITHELIAL,0.1272,0.5708050932310007,0.13173868,EMT_B_EPITHELIAL,2.6484,0.002246984103640156,False,True,False,False,epithelial,epithelial,factor_only_candidate_patient_or_technical,False,depth
DR 40-,DR 40,-,EMT_A_MESENCHYMAL,0.019,EMT_SCORE_A,0.0917,0.4291949067689993,-0.13173868,EMT_B_MESENCHYMAL,-0.0,1.0,False,False,False,False,mesenchymal,mesenchymal,neither,False,mesenchymal_may_be_ambient_or_doublet
DR 41+,DR 41,+,EMT_A_MESENCHYMAL,0.0261,EMT_SCORE_B,0.0904,0.4725867776718802,-0.045266863,EMT_B_MESENCHYMAL,2.8392,0.001448104823051373,False,True,False,False,mesenchymal,mesenchymal,factor_only_candidate_patient_or_technical,False,mesenchymal_may_be_ambient_or_doublet
DR 41-,DR 41,-,EMT_B_EPITHELIAL,0.1124,EMT_B_EPITHELIAL,0.1124,0.5274132223281198,0.045266863,EMT_C_EPITHELIAL,0.4676,0.3407218616593573,False,False,False,False,epithelial,epithelial,neither,False,depth
DR 42+,DR 42,+,EMT_A_EPITHELIAL,0.0965,EMT_A_EPITHELIAL,0.0965,0.5496928062779635,0.17230424,EMT_C_EPITHELIAL,0.4676,0.3407218616593573,False,False,False,False,epithelial,epithelial,neither,False,depth
DR 42-,DR 42,-,EMT_B_MESENCHYMAL,0.0042,EMT_SCORE_B,0.0703,0.45030719372203654,-0.17230424,EMT_B_MESENCHYMAL,0.0,1.0,False,False,False,False,mesenchymal,mesenchymal,neither,False,mesenchymal_may_be_ambient_or_doublet
DR 43+,DR 43,+,EMT_A_EPITHELIAL,0.0477,EMT_A_EPITHELIAL,0.0477,0.4973408736347776,-0.029220974,EMT_B_HYBRID,0.0,1.0,False,False,False,False,epithelial,hybrid,neither,False,depth
DR 43-,DR 43,-,EMT_C_HYBRID,0.0391,EMT_SCORE_A,0.0411,0.5026591263652225,0.029220974,EMT_C_MESENCHYMAL,0.4676,0.3407218616593573,False,False,False,False,hybrid,mesenchymal,neither,False,none
DR 44+,DR 44,+,EMT_C_EPITHELIAL,0.0584,EMT_C_EPITHELIAL,0.0584,0.5153862565444745,0.04219999,EMT_C_EPITHELIAL,0.4676,0.3407218616593573,False,False,False,False,epithelial,epithelial,neither,False,none
DR 44-,DR 44,-,EMT_B_HYBRID,0.0466,EMT_SCORE_B,0.0532,0.48461374345552555,-0.04219999,EMT_B_MESENCHYMAL,0.2516,0.560273394793797,False,False,False,False,hybrid,mesenchymal,neither,False,none
