sub_id,cohort,subcluster,n,median_nullpos,frac_cell_rule,too_small,call
Patient52|epi_s125,Patient52,epi_s125,21,0.4855,0.0,False,normal
Patient52|epi_s48,Patient52,epi_s48,90,0.48775,0.011111111111111112,False,normal
Patient52|epi_s50,Patient52,epi_s50,49,0.497,0.02040816326530612,False,normal
Patient52|epi_s21,Patient52,epi_s21,80,0.5215,0.0125,False,normal
Patient52|epi_s93,Patient52,epi_s93,51,0.5275,0.0392156862745098,False,normal
Patient52|epi_s139,Patient52,epi_s139,7,0.531,0.0,True,undecided
Patient52|epi_s27,Patient52,epi_s27,2,0.54125,0.0,True,undecided
Patient52|epi_s70,Patient52,epi_s70,28,0.54125,0.03571428571428571,False,normal
Patient52|epi_s52,Patient52,epi_s52,47,0.542,0.02127659574468085,False,normal
Patient52|epi_s149,Patient52,epi_s149,118,0.5429999999999999,0.0,False,normal
Patient52|epi_s109,Patient52,epi_s109,10,0.5449999999999999,0.1,True,undecided
Patient52|epi_s117,Patient52,epi_s117,30,0.55775,0.0,False,normal
Patient52|epi_s78,Patient52,epi_s78,56,0.55825,0.05357142857142857,False,normal
Patient52|epi_s146,Patient52,epi_s146,3,0.5605,0.0,True,undecided
Patient52|epi_s130,Patient52,epi_s130,21,0.5635,0.047619047619047616,False,normal
Patient52|epi_s13,Patient52,epi_s13,56,0.56525,0.07142857142857142,False,normal
Patient52|epi_s82,Patient52,epi_s82,28,0.567,0.03571428571428571,False,normal
Patient52|epi_s31,Patient52,epi_s31,50,0.5715,0.04,False,normal
Patient52|epi_s9,Patient52,epi_s9,88,0.5725,0.03409090909090909,False,normal
Patient52|epi_s63,Patient52,epi_s63,36,0.574,0.0,False,normal
Patient52|epi_s40,Patient52,epi_s40,56,0.5745,0.03571428571428571,False,normal
Patient52|epi_s98,Patient52,epi_s98,43,0.58,0.046511627906976744,False,normal
Patient52|epi_s103,Patient52,epi_s103,24,0.589,0.0,False,normal
Patient52|epi_s25,Patient52,epi_s25,108,0.6032500000000001,0.018518518518518517,False,normal
Patient52|epi_s113,Patient52,epi_s113,42,0.605,0.0,False,normal
Patient52|epi_s74,Patient52,epi_s74,21,0.6055,0.09523809523809523,False,normal
Patient52|epi_s7,Patient52,epi_s7,55,0.608,0.0,False,normal
Patient52|epi_s22,Patient52,epi_s22,36,0.61475,0.05555555555555555,False,normal
Patient52|epi_s90,Patient52,epi_s90,56,0.61475,0.017857142857142856,False,normal
Patient52|epi_s57,Patient52,epi_s57,35,0.615,0.0,False,normal
Patient52|epi_s108,Patient52,epi_s108,4,0.618,0.0,True,undecided
Patient52|epi_s110,Patient52,epi_s110,19,0.62,0.05263157894736842,True,undecided
Patient52|epi_s69,Patient52,epi_s69,16,0.625,0.0625,True,undecided
Patient52|epi_s24,Patient52,epi_s24,77,0.6265,0.025974025974025976,False,normal
Patient52|epi_s144,Patient52,epi_s144,56,0.6405000000000001,0.03571428571428571,False,normal
Patient52|epi_s102,Patient52,epi_s102,24,0.6415,0.041666666666666664,False,normal
Patient52|epi_s134,Patient52,epi_s134,6,0.65025,0.0,True,undecided
Patient52|epi_s19,Patient52,epi_s19,41,0.6545,0.04878048780487805,False,normal
Patient52|epi_s142,Patient52,epi_s142,1,0.6585,0.0,True,undecided
Patient52|epi_s107,Patient52,epi_s107,66,0.66,0.10606060606060606,False,normal
Patient52|epi_s39,Patient52,epi_s39,77,0.662,0.05194805194805195,False,normal
