# convergence | collection scie (stemness x immunogenicity (SCIE)) | DRVI run drvi_epi_64 | 04_3 - 04_7 signature interpretation
# CAVEAT: Cell type labels come from CellTypist (Cells_Adult_Breast.pkl, Kumar et al.
# CAVEAT: 2023), a NORMAL adult breast atlas with no malignant class: TNBC cells are assigned to the nearest normal state.
# CAVEAT: This subset therefore mixes normal and malignant epithelium and no CNV inference has been run.
# CAVEAT: Every state reported here is an EPITHELIAL state, not a tumour cell state.
dim_direction,dimension,direction,A_best_signature,A_rho,A_best_any_readout,A_rho_any,A_auroc_target_this_side,A_standardised_mean_difference,B_best_signature,B_neglog10_fdr,B_fdr,A_significant,B_significant,same_signature,same_family,A_family,B_family,verdict,dimension_vanished,confounder_flags
DR 39-,DR 39,-,HALLMARK_IFNA,0.0426,HALLMARK_IFNA,0.0426,0.49226157136948256,-0.03896786,ESC_ASSOU,2.2806,0.005240829125640289,False,True,False,False,immune,stemness,factor_only_candidate_patient_or_technical,False,"depth,cell_cycle"
DR 40+,DR 40,+,ESC_ASSOU,0.2265,ESC_ASSOU,0.2265,0.5875030373030232,0.20695627,ESC_ASSOU,1.2062,0.06220137712744861,True,False,False,False,stemness,stemness,cell_only_state_not_on_one_axis,False,"depth,cell_cycle"
DR 40-,DR 40,-,LIM_STEM,0.0393,LIM_STEM,0.0393,0.4124969626969768,-0.20695627,HALLMARK_IFNG,0.8058,0.15638676645114105,False,False,False,False,stemness,immune,neither,False,none
DR 41+,DR 41,+,LIM_STEM,0.0012,LIM_STEM,0.0012,0.4850455708708844,0.14709334,ESC_WONG,15.1957,6.372355556351464e-16,False,True,False,False,stemness,stemness,factor_only_candidate_patient_or_technical,False,"depth,cell_cycle"
DR 41-,DR 41,-,ESC_ASSOU,0.1273,ESC_ASSOU,0.1273,0.5149544291291156,-0.14709334,ISDS,0.2638,0.5447534633275432,False,False,False,False,stemness,immune,neither,False,"depth,cell_cycle"
DR 42+,DR 42,+,KEGG_APM,0.1219,KEGG_APM,0.1219,0.4860532399065788,-0.079972886,KEGG_APM,0.7284,0.1868959971651491,False,False,False,False,immune,immune,neither,False,depth
DR 42-,DR 42,-,ESC_WONG,0.1018,ESC_WONG,0.1018,0.5139467600934212,0.079972886,ESC_ASSOU,0.8058,0.15638676645114105,False,False,False,False,stemness,stemness,neither,False,"depth,cell_cycle"
DR 43+,DR 43,+,FMASC,0.2014,FMASC,0.2014,0.593969829525276,0.22680452,ESC_ASSOU,3.3802,0.0004166774522219098,True,True,False,True,stemness,stemness,convergent,False,none
DR 43-,DR 43,-,HALLMARK_IFNA,0.1318,HALLMARK_IFNA,0.1318,0.406030170474724,-0.22680452,ISDS,1.0117,0.09734194058907295,False,False,False,False,immune,immune,neither,False,none
DR 44+,DR 44,+,HALLMARK_IFNG,0.0674,HALLMARK_IFNG,0.0674,0.4056053804810621,-0.4390243,HALLMARK_IFNA,0.687,0.20558905959841414,False,False,False,False,immune,immune,neither,False,none
DR 44-,DR 44,-,ESC_ASSOU,0.1586,ESC_ASSOU,0.1586,0.5943946195189379,0.4390243,ESC_ASSOU,13.6881,2.050689935651027e-14,False,True,False,False,stemness,stemness,factor_only_candidate_patient_or_technical,False,"depth,cell_cycle"
DR 45+,DR 45,+,HALLMARK_IFNA,0.0516,HALLMARK_IFNA,0.0516,0.4950786201597573,-0.005947023,FMASC,1.9952,0.010111137119549066,False,True,False,False,immune,stemness,factor_only_candidate_patient_or_technical,False,none
DR 45-,DR 45,-,BENPORATH_ES1,0.099,BENPORATH_ES1,0.099,0.5049213798402428,0.005947023,ISDS,1.0117,0.09734194058907295,False,False,False,False,stemness,immune,neither,False,"depth,cell_cycle"
DR 46+,DR 46,+,LIM_STEM,0.1013,LIM_STEM,0.1013,0.5783621623153955,0.4057669,LIM_STEM,2.4606,0.0034625814654379193,False,True,False,False,stemness,stemness,factor_only_candidate_patient_or_technical,False,none
DR 46-,DR 46,-,HALLMARK_IFNG,0.1453,HALLMARK_IFNG,0.1453,0.4216378376846045,-0.4057669,HALLMARK_IFNA,2.1424,0.0072044362041528455,False,True,False,False,immune,immune,factor_only_candidate_patient_or_technical,False,none
DR 47+,DR 47,+,ISDS,0.0593,ISDS,0.0593,0.4958267233382795,0.006583583,HALLMARK_IFNA,0.687,0.20558905959841414,False,False,False,False,immune,immune,neither,False,none
DR 47-,DR 47,-,FMASC,0.0195,FMASC,0.0195,0.5041732766617205,-0.006583583,ESC_ASSOU,0.48,0.3311311214825911,False,False,False,False,stemness,stemness,neither,False,none
DR 48+,DR 48,+,ESC_WONG,0.0581,ESC_WONG,0.0581,0.5476469361403093,0.15054092,ESC_ASSOU,0.8058,0.15638676645114105,False,False,False,False,stemness,stemness,neither,False,"depth,cell_cycle"
DR 48-,DR 48,-,HALLMARK_IFNG,0.1577,HALLMARK_IFNG,0.1577,0.45235306385969065,-0.15054092,HALLMARK_IFNG,5.0605,8.699614330652673e-06,False,True,False,False,immune,immune,factor_only_candidate_patient_or_technical,False,none
DR 49+,DR 49,+,BENPORATH_ES1,-0.0045,BENPORATH_ES1,-0.0045,0.526392016567407,-0.09745221,ESC_ASSOU,0.6464,0.2257355711021447,False,False,False,False,stemness,stemness,neither,False,"depth,cell_cycle"
DR 49-,DR 49,-,LIM_STEM,0.1334,LIM_STEM,0.1334,0.473607983432593,0.09745221,LIM_STEM,2.4606,0.0034625814654379193,False,True,False,False,stemness,stemness,factor_only_candidate_patient_or_technical,False,none
DR 50+,DR 50,+,FMASC,0.1237,FMASC,0.1237,0.5923423687778703,0.20083775,ESC_WONG,0.9169,0.12108769161668773,False,False,False,False,stemness,stemness,neither,False,none
DR 50-,DR 50,-,HALLMARK_IFNA,0.1991,HALLMARK_IFNA,0.1991,0.4076576312221297,-0.20083775,LIM_STEM,19.8971,1.2673600118311338e-20,False,True,False,False,immune,stemness,factor_only_candidate_patient_or_technical,False,none
DR 51+,DR 51,+,IMMUNOGENIC_CONSENSUS,0.0419,IMMUNOGENIC_CONSENSUS,0.0419,0.4707966282984939,-0.08857008,HALLMARK_IFNA,0.0968,0.8002026771193327,False,False,False,False,immune,immune,neither,False,none
DR 51-,DR 51,-,ESC_ASSOU,0.0999,ESC_ASSOU,0.0999,0.5292033717015061,0.08857008,ESC_ASSOU,3.7882,0.00016285458868290706,False,True,False,False,stemness,stemness,factor_only_candidate_patient_or_technical,False,"depth,cell_cycle"
DR 52+,DR 52,+,FMASC,0.0997,FMASC,0.0997,0.5231168704096398,0.05090191,ESC_ASSOU,0.8058,0.15638676645114105,False,False,False,False,stemness,stemness,neither,True,none
DR 52-,DR 52,-,HALLMARK_IFNA,0.2409,HALLMARK_IFNA,0.2409,0.47688312959036017,-0.05090191,IMMUNOGENIC_CONSENSUS,2.5717,0.0026810196680906334,True,True,False,True,immune,immune,convergent,True,none
DR 53+,DR 53,+,ESC_ASSOU,0.2687,ESC_ASSOU,0.2687,0.5801774742488184,0.28221977,IMMUNOGENIC_CONSENSUS,3.4852,0.0003271899836231792,True,True,False,False,stemness,immune,both_routes_different_family,True,"depth,cell_cycle"
DR 53-,DR 53,-,LIM_STEM,0.216,LIM_STEM,0.216,0.4198225257511816,-0.28221977,ESC_ASSOU,0.9943,0.1013211242412733,True,False,False,False,stemness,stemness,cell_only_state_not_on_one_axis,True,none
DR 54+,DR 54,+,ESC_ASSOU,0.2897,ESC_ASSOU,0.2897,0.5779793300032137,0.30688417,IMMUNOGENIC_CONSENSUS,3.4852,0.0003271899836231792,True,True,False,False,stemness,immune,both_routes_different_family,True,"depth,cell_cycle"
DR 54-,DR 54,-,LIM_STEM,0.1087,LIM_STEM,0.1087,0.42202066999678634,-0.30688417,ESC_WONG,0.2473,0.5658482798597853,False,False,False,False,stemness,stemness,neither,True,none
