# signature_gene_contribution | collection emt (epithelial-mesenchymal transition (EMT)) | DRVI run drvi_epi_64 | 04_3 - 04_7 signature interpretation
# CAVEAT: Cell type labels come from CellTypist (Cells_Adult_Breast.pkl, Kumar et al.
# CAVEAT: 2023), a NORMAL adult breast atlas with no malignant class: TNBC cells are assigned to the nearest normal state.
# CAVEAT: This subset therefore mixes normal and malignant epithelium and no CNV inference has been run.
# CAVEAT: Every state reported here is an EPITHELIAL state, not a tumour cell state.
signature,axis,gene,detection_rate,mean_expression,share_of_mean_signal,share_of_score_variance,spearman_with_score,rank_by_variance_share
EMT_C_MESENCHYMAL,mesenchymal,S100A4,0.238404,0.343722,0.04907,0.065824,0.338736,7
EMT_C_MESENCHYMAL,mesenchymal,ACTA2,0.132118,0.182277,0.026022,0.041909,0.256452,8
EMT_C_MESENCHYMAL,mesenchymal,CTNNB1,0.25893,0.234079,0.033417,0.028303,0.197656,9
EMT_C_MESENCHYMAL,mesenchymal,STAT3,0.343171,0.340067,0.048548,0.026457,0.171204,10
EMT_C_MESENCHYMAL,mesenchymal,MMP14,0.141911,0.107632,0.015366,0.024537,0.226425,11
EMT_C_MESENCHYMAL,mesenchymal,MUC1,0.252885,0.257273,0.036729,0.024219,0.093459,12
EMT_C_MESENCHYMAL,mesenchymal,ITGB6,0.126866,0.101523,0.014494,0.015988,0.142903,13
EMT_C_MESENCHYMAL,mesenchymal,SOX10,0.101691,0.070428,0.010054,0.01481,0.215237,14
EMT_C_MESENCHYMAL,mesenchymal,GSK3B,0.172889,0.122549,0.017495,0.014582,0.139051,15
EMT_C_MESENCHYMAL,mesenchymal,SMAD2,0.175696,0.126849,0.018109,0.014561,0.138789,16
EMT_C_MESENCHYMAL,mesenchymal,MMP2,0.049932,0.048946,0.006988,0.014262,0.212975,17
EMT_C_MESENCHYMAL,mesenchymal,ADAM10,0.208501,0.184092,0.026281,0.011615,0.095376,18
EMT_C_MESENCHYMAL,mesenchymal,ADAM17,0.109657,0.070462,0.010059,0.010615,0.145094,19
EMT_C_MESENCHYMAL,mesenchymal,PXN,0.110195,0.074292,0.010606,0.01045,0.113528,20
EMT_C_MESENCHYMAL,mesenchymal,ZEB2,0.027968,0.026657,0.003806,0.010345,0.174947,21
EMT_C_MESENCHYMAL,mesenchymal,CDH11,0.038353,0.025731,0.003673,0.008362,0.188517,22
EMT_C_MESENCHYMAL,mesenchymal,SMAD4,0.091106,0.054769,0.007819,0.006562,0.098521,23
EMT_C_MESENCHYMAL,mesenchymal,SNAI2,0.027713,0.021118,0.003015,0.006372,0.156145,24
EMT_C_MESENCHYMAL,mesenchymal,ITGA5,0.028828,0.020493,0.002926,0.00543,0.106629,25
EMT_C_MESENCHYMAL,mesenchymal,ZEB1,0.019908,0.013478,0.001924,0.0046,0.14975,26
EMT_C_MESENCHYMAL,mesenchymal,ATL1,0.070673,0.04679,0.00668,0.004599,0.060919,27
EMT_C_MESENCHYMAL,mesenchymal,SNAI1,0.039038,0.0259,0.003698,0.004305,0.092701,28
EMT_C_MESENCHYMAL,mesenchymal,LEF1,0.024194,0.016067,0.002294,0.003816,0.132302,29
EMT_C_MESENCHYMAL,mesenchymal,ADAM12,0.018404,0.013035,0.001861,0.003691,0.119619,30
EMT_C_MESENCHYMAL,mesenchymal,MMP9,0.010478,0.011193,0.001598,0.003173,0.060537,31
EMT_C_MESENCHYMAL,mesenchymal,E2F1,0.0304,0.017581,0.00251,0.003051,0.077839,32
EMT_C_MESENCHYMAL,mesenchymal,SMAD3,0.053196,0.031972,0.004564,0.002826,0.054106,33
EMT_C_MESENCHYMAL,mesenchymal,TWIST1,0.007456,0.005407,0.000772,0.002569,0.070068,34
EMT_C_MESENCHYMAL,mesenchymal,MMP3,0.005857,0.006578,0.000939,0.001912,0.067571,35
EMT_C_MESENCHYMAL,mesenchymal,GSC,0.025336,0.013515,0.001929,0.001284,0.044677,36
EMT_C_MESENCHYMAL,mesenchymal,CDH2,0.009229,0.006672,0.000953,0.000937,0.053396,37
EMT_C_MESENCHYMAL,mesenchymal,FOXC2,0.00845,0.004224,0.000603,0.000786,0.055997,38
EMT_C_MESENCHYMAL,mesenchymal,ADAM19,0.004406,0.002943,0.00042,0.000464,0.033402,39
EMT_C_MESENCHYMAL,mesenchymal,ITGB3,0.0009,0.000491,7e-05,0.000134,0.027068,40
EMT_C_MESENCHYMAL,mesenchymal,NANOG,0.000269,0.000148,2.1e-05,7e-06,0.004574,41
