# signature_gene_contribution | collection gavish (pan-cancer malignant metaprograms (Gavish)) | DRVI run drvi_epi_64 | 04_3 - 04_7 signature interpretation
# CAVEAT: Cell type labels come from CellTypist (Cells_Adult_Breast.pkl, Kumar et al.
# CAVEAT: 2023), a NORMAL adult breast atlas with no malignant class: TNBC cells are assigned to the nearest normal state.
# CAVEAT: This subset therefore mixes normal and malignant epithelium and no CNV inference has been run.
# CAVEAT: Every state reported here is an EPITHELIAL state, not a tumour cell state.
signature,axis,gene,detection_rate,mean_expression,share_of_mean_signal,share_of_score_variance,spearman_with_score,rank_by_variance_share
MP13_EMT_2,emt,TGFBI,0.078317,0.079414,0.005785,0.012498,0.278359,27
MP13_EMT_2,emt,IGFBP7,0.150911,0.211594,0.015413,0.011327,0.243943,28
MP13_EMT_2,emt,CAV1,0.098414,0.106989,0.007793,0.011043,0.266539,29
MP13_EMT_2,emt,ITGA6,0.182628,0.156229,0.01138,0.011016,0.215178,30
MP13_EMT_2,emt,EMP3,0.125925,0.13679,0.009964,0.009967,0.188187,31
MP13_EMT_2,emt,ITGB6,0.126866,0.101523,0.007395,0.009541,0.168047,32
MP13_EMT_2,emt,THBS1,0.167448,0.165949,0.012088,0.009125,0.165318,33
MP13_EMT_2,emt,PDLIM7,0.122809,0.093943,0.006843,0.008475,0.213,34
MP13_EMT_2,emt,LAMA3,0.04609,0.031384,0.002286,0.004854,0.130138,35
MP13_EMT_2,emt,CDA,0.020929,0.019169,0.001396,0.00471,0.155642,36
MP13_EMT_2,emt,ITGA3,0.072339,0.047502,0.00346,0.004013,0.098606,37
MP13_EMT_2,emt,PRSS23,0.159912,0.158572,0.011551,0.003986,0.081115,38
MP13_EMT_2,emt,COL17A1,0.027122,0.02552,0.001859,0.003712,0.163554,39
MP13_EMT_2,emt,ITGAV,0.154418,0.113077,0.008237,0.003692,0.083136,40
MP13_EMT_2,emt,PLAU,0.0394,0.03321,0.002419,0.002982,0.148028,41
MP13_EMT_2,emt,DCBLD2,0.09746,0.063887,0.004654,0.002777,0.085056,42
MP13_EMT_2,emt,INHBA,0.029486,0.023723,0.001728,0.00275,0.134353,43
MP13_EMT_2,emt,F3,0.047689,0.034801,0.002535,0.002595,0.078795,44
MP13_EMT_2,emt,IGFBP6,0.02688,0.027728,0.00202,0.001784,0.111356,45
MP13_EMT_2,emt,PDPN,0.014293,0.012616,0.000919,0.001252,0.110331,46
MP13_EMT_2,emt,SERPINE1,0.01393,0.011046,0.000805,0.000979,0.073009,47
MP13_EMT_2,emt,FSTL3,0.031595,0.020037,0.001459,0.000726,0.036227,48
MP13_EMT_2,emt,C15orf48,0.168133,0.210602,0.01534,-0.000614,-0.033594,49
MP13_EMT_2,emt,PTHLH,0.106165,0.13443,0.009792,-0.001901,-0.036647,50
MP14_EMT_3,emt,S100A6,0.777649,2.11301,0.049286,0.056936,0.629103,1
MP14_EMT_3,emt,S100A10,0.755108,1.735684,0.040485,0.04896,0.634954,2
MP14_EMT_3,emt,S100A11,0.900095,2.519733,0.058773,0.045535,0.639054,3
MP14_EMT_3,emt,IFI27,0.416948,1.075672,0.02509,0.043707,0.520764,4
