# convergence | collection gavish_tnbc (pan-cancer malignant metaprograms (Gavish, TNBC-relevant)) | DRVI run drvi_epi_64 | 04_3 - 04_7 signature interpretation
# CAVEAT: Cell type labels come from CellTypist (Cells_Adult_Breast.pkl, Kumar et al.
# CAVEAT: 2023), a NORMAL adult breast atlas with no malignant class: TNBC cells are assigned to the nearest normal state.
# CAVEAT: This subset therefore mixes normal and malignant epithelium and no CNV inference has been run.
# CAVEAT: Every state reported here is an EPITHELIAL state, not a tumour cell state.
dim_direction,dimension,direction,A_best_signature,A_rho,A_best_any_readout,A_rho_any,B_best_signature,B_neglog10_fdr,B_fdr,A_significant,B_significant,same_signature,same_family,A_family,B_family,verdict,dimension_vanished,confounder_flags
DR 37-,DR 37,-,MP41_UNASSIGNED,0.1056,MP41_UNASSIGNED,0.1056,MP5_STRESS,2.0173,0.009609482495282767,False,True,False,False,unassigned,stress,factor_only_candidate_patient_or_technical,False,cell_cycle
DR 38+,DR 38,+,MP22_SECRETED_1,0.1489,MP22_SECRETED_1,0.1489,MP14_EMT_3,6.865,1.3645831365889239e-07,False,True,False,False,secreted,emt,factor_only_candidate_patient_or_technical,False,mesenchymal_may_be_ambient_or_doublet
DR 38-,DR 38,-,MP10_PROTEIN_MATURATION,0.3615,MP10_PROTEIN_MATURATION,0.3615,MP17_INTERFERON_MHC_II_1,11.289,5.140436515824264e-12,True,True,False,False,proteostasis,immune,both_routes_different_family,False,depth
DR 39+,DR 39,+,MP5_STRESS,0.4477,MP5_STRESS,0.4477,MP5_STRESS,23.0344,9.238468875379418e-24,True,True,True,True,stress,stress,convergent,False,cell_cycle
DR 39-,DR 39,-,MP8_PROTEASOMAL_DEGRADATION,0.1293,MP8_PROTEASOMAL_DEGRADATION,0.1293,MP10_PROTEIN_MATURATION,4.6497,2.2402681265938702e-05,False,True,False,False,proteostasis,proteostasis,factor_only_candidate_patient_or_technical,False,depth
DR 40+,DR 40,+,MP14_EMT_3,0.1395,MP14_EMT_3,0.1395,MP14_EMT_3,4.3505,4.461696245809641e-05,False,True,False,False,emt,emt,factor_only_candidate_patient_or_technical,False,mesenchymal_may_be_ambient_or_doublet
DR 40-,DR 40,-,MP2_CELL_CYCLE_G1_S,0.0738,MP2_CELL_CYCLE_G1_S,0.0738,MP36_IG,16.6946,2.0202262041587566e-17,False,True,False,False,cell_cycle,other_lineage,factor_only_candidate_patient_or_technical,False,lineage_control_claim_bounds_the_rest
DR 41+,DR 41,+,MP2_CELL_CYCLE_G1_S,0.0681,MP2_CELL_CYCLE_G1_S,0.0681,MP3_CELL_CYCLE_HMG_RICH,4.4821,3.2953382547359615e-05,False,True,False,False,cell_cycle,cell_cycle,factor_only_candidate_patient_or_technical,False,"depth,cell_cycle"
DR 41-,DR 41,-,MP10_PROTEIN_MATURATION,0.2462,MP10_PROTEIN_MATURATION,0.2462,MP39_METAL_RESPONSE,3.2137,0.0006113641945007669,True,True,False,False,proteostasis,detoxification,both_routes_different_family,False,depth
DR 42+,DR 42,+,MP10_PROTEIN_MATURATION,0.1574,MP10_PROTEIN_MATURATION,0.1574,MP23_SECRETED_2,2.798,0.00159220872705117,False,True,False,False,proteostasis,secreted,factor_only_candidate_patient_or_technical,False,none
